Hour,Speed_at_2m,Speed_at_10m,Speed_at_50m,Speed_at_100m
7861,4.124824534,4.816463947,5.624075586,6.012367461
7862,3.92018906,4.53754139,5.252114514,5.59355612
7863,4.123984632,4.756454945,5.485923362,5.833607296
7864,4.566473221,5.279035091,6.102786582,6.496051369
7865,4.994442165,5.824028969,6.791411795,7.256077741
7866,5.259484016,6.211560249,7.335982125,7.880937852
7867,5.363284185,6.432693958,7.715338239,8.34376545
7868,5.044201191,6.236522675,7.710678777,8.448497914
7869,4.377479123,5.64026022,7.267318576,8.105521192
7870,3.993476109,5.26210165,6.933737181,7.808469791
7871,3.969567146,5.406914711,7.364713989,8.413087805
7872,3.855187037,5.287064552,7.250764052,8.307288911
7873,3.601404716,5.013066769,6.978065619,8.046255055
7874,3.327565262,4.713465691,6.676580944,7.756724094
7875,3.195079062,4.544411182,6.463587471,7.522555936
7876,3.016085757,4.327923298,6.210340681,7.255393263
7877,2.974503215,4.242735386,6.051700823,7.051822022
7878,2.917357121,4.144760132,5.888561405,6.850016327
7879,2.786376738,4.002376556,5.74904961,6.719424081
7880,2.749326379,3.964071989,5.715533396,6.691104808
7881,3.178351276,4.131139278,5.369548629,6.011433311
7882,4.724378057,5.73204422,6.95463626,7.558508916
7883,4.849864333,5.796263695,6.927342811,7.480128049
7884,4.863737377,5.742500305,6.780035023,7.282777293
7885,4.642418633,5.42950058,6.350025466,6.79310276
7886,4.50090398,5.240868092,6.10248485,6.515922791
7887,4.531666586,5.257051945,6.098549976,6.501274023
7888,4.654548038,5.398123264,6.260486419,6.673116321
7889,4.872082465,5.677986622,6.617197536,7.068143572
7890,5.251322457,6.231819153,7.395388546,7.961229477
7891,5.350461723,6.449316979,7.773850491,8.425074042
7892,5.137150801,6.364635468,7.885418631,8.647682455
7893,4.670082987,6.000571251,7.710110385,8.589096674
7894,4.120891276,5.437222004,7.174026476,8.083703284
7895,3.911924409,5.410382271,7.482822585,8.604405256
7896,4.111866539,5.594101906,7.610649771,8.689593752
7897,3.847726544,5.303965569,7.311343577,8.395218354
7898,3.66736527,5.119556427,7.146781431,8.250991321
7899,3.45656166,4.892154217,6.923982627,8.041295826
7900,3.317899751,4.743326664,6.781141545,7.909560058
7901,3.148165244,4.542229176,6.553609574,7.674484895
7902,2.829228761,4.152590275,6.094949347,7.190230081
7903,2.499967075,3.752449274,5.632424402,6.709008401
7904,2.273689539,3.467882395,5.289292182,6.343878674
7905,2.709378419,3.644714832,4.902949738,5.570907521
7906,3.499257415,4.206599236,5.056923521,5.474207258
7907,3.933027958,4.653347492,5.505590887,5.919157354
7908,4.233013061,4.969715595,5.834631914,6.252070057
7909,4.563873442,5.342434406,6.253811756,6.692763757
7910,4.904437874,5.736393452,6.709476331,7.177877348
7911,4.96897198,5.813485622,6.801530622,7.277226668
7912,4.832331031,5.672531128,6.658817285,7.134785004
7913,4.833252176,5.684878826,6.686563434,7.170638185
7914,5.253932511,6.253020287,7.442094588,8.02151937
7915,5.445346031,6.575980187,7.941371433,8.613566258
7916,5.232795423,6.531385899,8.152239541,8.968893116
7917,4.401108733,5.802316189,7.64963449,8.616656773
7918,3.925329587,5.434862614,7.524904845,8.656871455
7919,4.311348146,5.920577526,8.130458747,9.320542
7920,4.291276643,5.923163414,8.17562412,9.392939152
7921,4.019133726,5.610310078,7.831433665,9.041212395
